BEGIN,EntityId=418553,Frequency=adhoc
EntityId=418553,ReportTypeName=Multiple,Frequency=adhoc,FromDate=2025-03-03,ToDate=2025-03-04,GenerationDate=2025-03-13,GenerationTime=19:22:13
Record Type,Presentment Currency Code,Settlement Currency Code,Payment Method Code,Conveyed Sales Count,Conveyed Sales Amount,Conveyed Refund Count,Conveyed Refund Amount,,
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4384338,1117923336,2025-02-04 thru 2025-02-04,2/6/2025,233.43
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1117924175,2025-02-04 thru 2025-02-04,2/7/2025,17778.63
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1117940532,2025-02-05 thru 2025-02-05,2/7/2025,299.24
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4384338,1117940546,2025-02-05 thru 2025-02-05,2/7/2025,76.46
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1117940237,2025-02-05 thru 2025-02-05,2/10/2025,47367.42
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1117959201,2025-02-06 thru 2025-02-06,2/10/2025,3918.04
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1117958695,2025-02-06 thru 2025-02-06,2/11/2025,82198.47
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1117976629,2025-02-07 thru 2025-02-07,2/11/2025,1077.59
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1117974625,2025-02-07 thru 2025-02-07,2/12/2025,2160.35
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118026901,2025-02-08 thru 2025-02-09,2/12/2025,7178.78
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118045098,2025-02-10 thru 2025-02-10,2/12/2025,2058.56
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118026102,2025-02-09 thru 2025-02-09,2/13/2025,31.52
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118044353,2025-02-10 thru 2025-02-10,2/13/2025,2828.97
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118080091,2025-02-11 thru 2025-02-11,2/13/2025,2657.02
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118078802,2025-02-11 thru 2025-02-11,2/14/2025,14980.71
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118097632,2025-02-12 thru 2025-02-12,2/14/2025,2393.44
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118096217,2025-02-12 thru 2025-02-12,2/17/2025,15300.24
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387584,1118114973,2025-02-13 thru 2025-02-13,2/18/2025,-0.03
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118114999,2025-02-13 thru 2025-02-13,2/18/2025,4309.07
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387587,1118115015,2025-02-13 thru 2025-02-13,2/18/2025,-0.03
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118115119,2025-02-13 thru 2025-02-13,2/18/2025,146.36
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118115198,2025-02-11 thru 2025-02-13,2/18/2025,5162.57
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118131448,2025-02-14 thru 2025-02-14,2/19/2025,4893.33
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118131714,2025-02-14 thru 2025-02-14,2/19/2025,151.4
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118131787,2025-02-14 thru 2025-02-14,2/19/2025,8077.31
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118167102,2025-02-15 thru 2025-02-16,2/20/2025,2552.38
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118184621,2025-02-17 thru 2025-02-17,2/20/2025,2949.2
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118202158,2025-02-18 thru 2025-02-18,2/20/2025,479.85
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118201887,2025-02-16 thru 2025-02-18,2/21/2025,203.17
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118201963,2025-02-18 thru 2025-02-18,2/21/2025,4247.35
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118219705,2025-02-19 thru 2025-02-19,2/21/2025,4602.55
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118219436,2025-02-19 thru 2025-02-19,2/24/2025,20007.94
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118219573,2025-02-19 thru 2025-02-19,2/24/2025,4052.91
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118237063,2025-02-20 thru 2025-02-20,2/24/2025,3759.57
Deposit Transfer Summary,3/4/2025,JPY,GBP,Pending Funds Transfer,4383845,1118237066,2025-02-20 thru 2025-02-20,2/25/2025,1490.31
Deposit Transfer Summary,3/4/2025,AZN,GBP,Pending Funds Transfer,4383845,1118237066,2025-02-20 thru 2025-02-20,2/25/2025,3044.48
Deposit Transfer Summary,3/4/2025,AED,GBP,Pending Funds Transfer,4383845,1118237066,2025-02-20 thru 2025-02-20,2/25/2025,596.19
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118237196,2025-02-20 thru 2025-02-20,2/25/2025,25721.95
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118237266,2025-02-20 thru 2025-02-20,2/25/2025,252.41
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118288834,2025-02-20 thru 2025-02-23,2/26/2025,3304.1
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118304695,2025-02-24 thru 2025-02-24,2/26/2025,5520.32
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118288097,2025-02-20 thru 2025-02-23,2/27/2025,6065.41
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118288245,2025-02-20 thru 2025-02-21,2/27/2025,2444.91
Deposit Transfer Summary,3/4/2025,AED,GBP,Pending Funds Transfer,4383845,1118288837,2025-02-20 thru 2025-02-24,2/27/2025,240.97
Deposit Transfer Summary,3/4/2025,JPY,GBP,Pending Funds Transfer,4383845,1118288837,2025-02-20 thru 2025-02-24,2/27/2025,709.7
Deposit Transfer Summary,3/4/2025,KRW,GBP,Pending Funds Transfer,4383845,1118288837,2025-02-20 thru 2025-02-24,2/27/2025,-0.1
Deposit Transfer Summary,3/4/2025,AZN,GBP,Pending Funds Transfer,4383845,1118288837,2025-02-20 thru 2025-02-24,2/27/2025,686.95
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118305609,2025-02-24 thru 2025-02-24,2/27/2025,3098.89
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118322278,2025-02-25 thru 2025-02-25,2/27/2025,3542.85
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4384338,1118322283,2025-02-25 thru 2025-02-25,2/27/2025,233.25
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118321962,2025-02-25 thru 2025-02-25,2/28/2025,103693.44
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118346312,2025-02-26 thru 2025-02-26,2/28/2025,319409.07
Deposit Transfer Summary,3/4/2025,EUR,EUR,Effective Funds Transfer,4383832,1118345113,2025-02-26 thru 2025-02-26,3/3/2025,44156.79
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118345247,2025-02-24 thru 2025-02-26,3/3/2025,194.71
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118368502,2025-02-27 thru 2025-02-27,3/3/2025,319467.22
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118368131,2025-02-27 thru 2025-02-27,3/4/2025,109617.64
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118368271,2025-02-27 thru 2025-02-27,3/4/2025,5255.79
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118385516,2025-02-28 thru 2025-02-28,3/4/2025,26290.65
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118385337,2025-02-28 thru 2025-03-01,3/5/2025,63199.11
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118385440,2025-02-28 thru 2025-02-28,3/5/2025,2922.86
Deposit Transfer Summary,3/4/2025,GBP,GBP,Pending Funds Transfer,4383845,1118385518,2025-02-25 thru 2025-02-28,3/5/2025,18.81
Deposit Transfer Summary,3/4/2025,JPY,GBP,Pending Funds Transfer,4383845,1118385518,2025-02-25 thru 2025-02-28,3/5/2025,0
Deposit Transfer Summary,3/4/2025,USD,USD,Pending Funds Transfer,4383826,1118865835,2025-03-03 thru 2025-03-03,3/5/2025,212978.63
Deposit Transfer Summary,3/4/2025,GBP,GBP,Pending Funds Transfer,4383845,1118865840,2025-03-03 thru 2025-03-03,3/6/2025,-0.88
Deposit Transfer Summary,3/4/2025,AZN,GBP,Pending Funds Transfer,4383845,1118865840,2025-03-03 thru 2025-03-03,3/6/2025,176.81
Deposit Transfer Summary,3/4/2025,AED,GBP,Pending Funds Transfer,4383845,1118865840,2025-03-03 thru 2025-03-03,3/6/2025,38.02
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4383832,1118866766,2025-03-03 thru 2025-03-03,3/6/2025,116030.57
Deposit Transfer Summary,3/4/2025,EUR,EUR,Pending Funds Transfer,4387612,1118866838,2025-03-03 thru 2025-03-03,3/6/2025,392.31
END,EntityId=418553,Frequency=adhoc
