Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Fréquence=ponctuel
Identificateur de l’entité=424017,"Nom de l’entité=UPG_Auto_Testing1",Nom du type de rapport=Multiple,Fréquence=ponctuel,Du [date]=2025-10-23,AU [date]=2025-10-30,Date de génération=2025-11-10,Durée d’une génération=14:15:28
"Type de dossier","Code de devise de la présentation","Code de devise de règlement","Code du mode de paiement","Texte de la catégorie de frais","Texte de la sous-catégorie de frais","Texte du code de type d’action","Identificateur du barème des frais de service aux commerçants","Texte des frais","Code de qualification d’interchange","Quantité unitaire","Montant des frais de service","Montant de la transaction","Taux des frais","Total de frais","Taxe de vente","Impôt fédéral","Taxes provinciales","Total des frais après impôt"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’interchange","VENTE","29283915","Interchange","DCSL","6","0.150000000","-66.12000000","0.02450000","-2.52000000","0.00000000","0.00000000","0.00000000","-2.52000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Évaluation","DCSL","","0.000000000","-66.12000000","0.00140000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Évaluation","DNON","","0.000000000","903.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Discover Utilisation de données","DCSL","6","0.002500000","66.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Discover Utilisation de données","DNON","43","-0.002500000","903.00000000","0.00000000","0.01000000","0.00000000","0.00000000","0.00000000","0.01000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Frais d’investissement numérique DI","DCSL","6","0.000000000","66.12000000","0.00010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Disc Frais d’autorisation réseau","DCA1","6","0.000000000","72.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Disc Frais d’autorisation réseau","DCSL","6","0.019000000","-66.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","AUT.","29283915","Disc Frais d’autorisation réseau","NONE","353","0.019000000","-11262.20000000","0.00000000","-6.97999996","0.00000000","0.00000000","0.00000000","-6.97999996"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Évaluation","D811","","0.000000000","-6393.70000000","0.00140000","-8.88999998","0.00000000","0.00000000","0.00000000","-8.88999998"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Discover Utilisation de données","D811","233","0.002500000","-5628.70000000","0.00000000","-0.49999993","0.00000000","0.00000000","0.00000000","-0.49999993"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Discover Frais de traitement","D811","233","0.000000000","-6393.70000000","0.00500000","-32.06999997","0.00000000","0.00000000","0.00000000","-32.06999997"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Disc Frais de service international","D811","233","0.000000000","-6393.70000000","0.00800000","-51.17000010","0.00000000","0.00000000","0.00000000","-51.17000010"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Évaluation","DCA1","","0.000000000","72.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","AUT.","29283915","Frais AVS DI","NONE","353","0.005000000","-11262.20000000","0.00000000","-2.29000030","0.00000000","0.00000000","0.00000000","-2.29000030"
"Sommaires des frais","USD","USD","DD","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Discover Utilisation de données","DCA1","6","-0.002500000","72.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Autres frais","AUT.","29283915","Passerelle - frais de transaction","NONE","547","0.000000000","12270.20000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais de dépôt","REMBOURSEMENT","29283915","Frais de dépôt Frais","DCA1","6","0.017500000","-72.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais de dépôt","REMBOURSEMENT","29283915","Frais de dépôt Frais","DNON","43","0.017500000","-903.00000000","0.00000000","-0.86000000","0.00000000","0.00000000","0.00000000","-0.86000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais de dépôt","VENTE","29283915","Frais de dépôt Frais","D811","233","0.017500000","-6393.70000000","0.00000000","-4.22000003","0.00000000","0.00000000","0.00000000","-4.22000003"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais de dépôt","VENTE","29283915","Frais de dépôt Frais","DCSL","6","0.017500000","-66.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais d’autorisation","REMBOURSEMENT","29283915","Préautorisation CPU","DCA1","6","0.000000000","72.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais d’autorisation","AUT.","29283915","Autorisation en ligne","NONE","353","0.017500000","-11262.20000000","0.00000000","-6.51000018","0.00000000","0.00000000","0.00000000","-6.51000018"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais d’autorisation","AUT.","29283915","Commerce plus","NONE","401","0.150000000","-12270.20000000","0.00000000","-60.15000000","0.00000000","0.00000000","0.00000000","-60.15000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais d’autorisation","VENTE","29283915","Préautorisation CPU","DCSL","6","0.017500000","-66.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais d’autorisation","VENTE","29283915","Commerce plus","DCSL","6","0.150000000","-66.12000000","0.00000000","-0.90000000","0.00000000","0.00000000","0.00000000","-0.90000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais d’autorisation","AUT.","29283915","Préautorisation CPU","NONE","146","0.017500000","0.00000000","0.00000000","-2.84000006","0.00000000","0.00000000","0.00000000","-2.84000006"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais d’autorisation","AUT.","29283915","Autorisation en ligne","NONE","48","0.000000000","1008.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DD","Frais de traitement","Frais d’autorisation","REMBOURSEMENT","29283915","Commerce plus","DCA1","6","0.150000000","-72.12000000","0.00000000","-0.90000000","0.00000000","0.00000000","0.00000000","-0.90000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’interchange","VENTE","29283915","Interchange","D463","188","0.100000000","-5814.50000000","0.01910000","-129.99000000","0.00000000","0.00000000","0.00000000","-129.99000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’interchange","VENTE","29283915","Interchange","D460","44","0.100000000","-792.00000000","0.02030000","-20.65000000","0.00000000","0.00000000","0.00000000","-20.65000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’interchange","REMBOURSEMENT","29283915","Interchange","DCV3","44","0.000000000","792.00000000","-0.01750000","14.07000000","0.00000000","0.00000000","0.00000000","14.07000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’interchange","VENTE","29283915","Interchange","DCRP","6","0.050000000","-30.12000000","0.01350000","-0.72000000","0.00000000","0.00000000","0.00000000","-0.72000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’interchange","REMBOURSEMENT","29283915","Interchange","DDV3","6","0.000000000","36.12000000","-0.01350000","0.48000000","0.00000000","0.00000000","0.00000000","0.48000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Frais d’investissement numérique DI","DCRP","6","0.000000000","30.12000000","0.00010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Frais d’investissement numérique DI","D463","188","0.000000000","-5300.90000000","0.00010000","-0.48999996","0.00000000","0.00000000","0.00000000","-0.48999996"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Évaluation","DCRP","","0.000000000","-30.12000000","0.00140000","-0.06000000","0.00000000","0.00000000","0.00000000","-0.06000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Discover Utilisation de données","DDV3","6","-0.002500000","36.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Discover Utilisation de données","D463","188","0.002500000","-5300.90000000","0.00000000","-0.47999996","0.00000000","0.00000000","0.00000000","-0.47999996"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Évaluation","D463","","0.000000000","-5814.50000000","0.00140000","-7.98999997","0.00000000","0.00000000","0.00000000","-7.98999997"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Discover Utilisation de données","DCRP","6","0.002500000","30.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","AUT.","29283915","Disc Frais d’autorisation réseau","NONE","414","0.019000000","-42087.50000000","0.00000000","-8.20999998","0.00000000","0.00000000","0.00000000","-8.20999998"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Disc Frais d’autorisation réseau","DCRP","6","0.019000000","-30.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Évaluation","DDV3","","0.000000000","36.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Frais d’investissement numérique DI","D460","44","0.000000000","792.00000000","0.00010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Évaluation","D460","","0.000000000","-792.00000000","0.00140000","-1.29000000","0.00000000","0.00000000","0.00000000","-1.29000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","AUT.","29283915","Frais AVS DI","NONE","402","0.005000000","-40887.50000000","0.00000000","-2.68000025","0.00000000","0.00000000","0.00000000","-2.68000025"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Discover Utilisation de données","DCV3","44","-0.002500000","792.00000000","0.00000000","0.01000000","0.00000000","0.00000000","0.00000000","0.01000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","AUT.","29283915","Vérification d’un compte DI","NONE","50","0.020000000","0.00000000","0.00000000","-1.00000000","0.00000000","0.00000000","0.00000000","-1.00000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Discover Utilisation de données","D460","44","0.002500000","576.00000000","0.00000000","-0.03000000","0.00000000","0.00000000","0.00000000","-0.03000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Évaluation","DCV3","","0.000000000","792.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Disc Frais d’autorisation réseau","DDV3","6","0.000000000","36.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Autres frais","AUT.","29283915","Passerelle - frais de transaction","NONE","512","0.000000000","42951.50000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais de dépôt","VENTE","29283915","Frais de dépôt Frais","D460","44","0.017500000","-792.00000000","0.00000000","-0.88000000","0.00000000","0.00000000","0.00000000","-0.88000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais de dépôt","REMBOURSEMENT","29283915","Frais de dépôt Frais","DCV3","44","0.017500000","-792.00000000","0.00000000","-0.88000000","0.00000000","0.00000000","0.00000000","-0.88000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais de dépôt","VENTE","29283915","Frais de dépôt Frais","DCRP","6","0.017500000","-30.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais de dépôt","REMBOURSEMENT","29283915","Frais de dépôt Frais","DDV3","6","0.017500000","-36.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais de dépôt","VENTE","29283915","Frais de dépôt Frais","D463","188","0.017500000","-5814.50000000","0.00000000","-3.34000004","0.00000000","0.00000000","0.00000000","-3.34000004"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais d’autorisation","REMBOURSEMENT","29283915","Préautorisation CPU","DDV3","6","0.000000000","36.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais d’autorisation","AUT.","29283915","Autorisation en ligne","NONE","48","0.000000000","864.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais d’autorisation","REMBOURSEMENT","29283915","Commerce plus","DDV3","6","0.150000000","-36.12000000","0.00000000","-0.90000000","0.00000000","0.00000000","0.00000000","-0.90000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais d’autorisation","AUT.","29283915","Préautorisation CPU","NONE","50","0.017500000","0.00000000","0.00000000","-1.00000000","0.00000000","0.00000000","0.00000000","-1.00000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais d’autorisation","VENTE","29283915","Commerce plus","DCRP","6","0.150000000","-30.12000000","0.00000000","-0.90000000","0.00000000","0.00000000","0.00000000","-0.90000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais d’autorisation","VENTE","29283915","Préautorisation CPU","DCRP","6","0.017500000","-30.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais d’autorisation","AUT.","29283915","Commerce plus","NONE","462","0.150000000","-42951.50000000","0.00000000","-69.30000000","0.00000000","0.00000000","0.00000000","-69.30000000"
"Sommaires des frais","USD","USD","DI","Frais de traitement","Frais d’autorisation","AUT.","29283915","Autorisation en ligne","NONE","414","0.017500000","-42087.50000000","0.00000000","-7.81000019","0.00000000","0.00000000","0.00000000","-7.81000019"
"Sommaires des frais","USD","USD","IM","Frais de traitement","Frais d’autorisation","VENTE","null","Transaction refusée","","1","0.017500000","0.00000000","","-0.02000000","0.00000000","0.00000000","0.00000000","-0.02000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’interchange","REMBOURSEMENT","29283915","Interchange","D358","6","0.000000000","48.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’interchange","REMBOURSEMENT","29283915","Interchange","DPV3","44","0.000000000","924.00000000","-0.01750000","16.28000000","0.00000000","0.00000000","0.00000000","16.28000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’interchange","VENTE","29283915","Interchange","DPRP","6","0.050000000","-42.12000000","0.01450000","-0.90000000","0.00000000","0.00000000","0.00000000","-0.90000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’interchange","VENTE","29283915","Interchange","D462","235","0.100000000","-7026.20000000","0.02050000","-167.57000003","0.00000000","0.00000000","0.00000000","-167.57000003"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Évaluation","DPV3","","0.000000000","924.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","AUT.","29283915","Vérification d’un compte DI","NONE","50","0.020000000","0.00000000","0.00000000","-1.00000000","0.00000000","0.00000000","0.00000000","-1.00000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Disc Frais d’autorisation réseau","D358","6","0.000000000","48.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Évaluation","D358","","0.000000000","48.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Frais d’investissement numérique DI","D462","235","0.000000000","-6244.20000000","0.00010000","-0.79999989","0.00000000","0.00000000","0.00000000","-0.79999989"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Discover Utilisation de données","D358","6","-0.002500000","48.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Disc Frais d’autorisation réseau","DPRP","6","0.019000000","-42.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Discover Utilisation de données","D462","235","0.002500000","-6244.20000000","0.00000000","-0.50999994","0.00000000","0.00000000","0.00000000","-0.50999994"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Frais d’investissement numérique DI","DPRP","6","0.000000000","42.12000000","0.00010000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Évaluation","D462","","0.000000000","-7026.20000000","0.00140000","-9.81999996","0.00000000","0.00000000","0.00000000","-9.81999996"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Évaluation","DPRP","","0.000000000","-42.12000000","0.00140000","-0.06000000","0.00000000","0.00000000","0.00000000","-0.06000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","VENTE","29283915","Discover Utilisation de données","DPRP","6","0.002500000","42.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","REMBOURSEMENT","29283915","Discover Utilisation de données","DPV3","44","-0.002500000","924.00000000","0.00000000","0.02000000","0.00000000","0.00000000","0.00000000","0.02000000"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","AUT.","29283915","Frais AVS DI","NONE","358","0.005000000","-12368.20000000","0.00000000","-2.31000033","0.00000000","0.00000000","0.00000000","-2.31000033"
"Sommaires des frais","USD","USD","JC","Frais d’évaluation et d’interchange","Frais d’évaluation","AUT.","29283915","Disc Frais d’autorisation réseau","NONE","358","0.019000000","-12368.20000000","0.00000000","-7.10000003","0.00000000","0.00000000","0.00000000","-7.10000003"
"Sommaires des frais","USD","USD","JC","Frais de traitement","Autres frais","AUT.","29283915","Passerelle - frais de transaction","NONE","457","0.000000000","13397.20000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","JC","Frais de traitement","Frais de dépôt","REMBOURSEMENT","29283915","Frais de dépôt Frais","D358","6","0.017500000","-48.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","JC","Frais de traitement","Frais de dépôt","VENTE","29283915","Frais de dépôt Frais","DPRP","6","0.017500000","-42.12000000","0.00000000","-0.12000000","0.00000000","0.00000000","0.00000000","-0.12000000"
"Sommaires des frais","USD","USD","JC","Frais de traitement","Frais de dépôt","REMBOURSEMENT","29283915","Frais de dépôt Frais","DPV3","44","0.017500000","-924.00000000","0.00000000","-0.88000000","0.00000000","0.00000000","0.00000000","-0.88000000"
"Sommaires des frais","USD","USD","JC","Frais de traitement","Frais de dépôt","VENTE","29283915","Frais de dépôt Frais","D462","235","0.017500000","-7026.20000000","0.00000000","-4.24000006","0.00000000","0.00000000","0.00000000","-4.24000006"
"Sommaires des frais","USD","USD","JC","Frais de traitement","Frais d’autorisation","AUT.","29283915","Autorisation en ligne","NONE","49","0.000000000","1029.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"Sommaires des frais","USD","USD","JC","Frais de traitement","Frais d’autorisation","REMBOURSEMENT","29283915","Commerce plus","D358","6","0.150000000","-48.12000000","0.00000000","-0.90000000","0.00000000","0.00000000","0.00000000","-0.90000000"
"Sommaires des frais","USD","USD","JC","Frais de traitement","Frais d’autorisation","REMBOURSEMENT","29283915","Préautorisation CPU","D358","6","0.000000000","48.12000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
